Pos,ID,Name,BV,SV,Team,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts
M,159,Ayew,5.4,5.4,Crystal Palace,0,0.00,44,1.87,46,2.40,45,2.04,44,2.18,46,2.08,43,2.25,44,1.90
M,160,Zaha,7.2,7.2,Crystal Palace,0,0.00,79,3.59,75,4.69,74,3.75,74,4.20,74,3.80,72,4.31,71,3.35
M,161,Schlupp,4.9,4.9,Crystal Palace,0,0.00,67,2.30,66,2.69,61,2.24,60,2.41,58,2.22,59,2.47,59,2.12
G,162,Butland,4.4,4.4,Crystal Palace,0,0.00,0,0.01,1,0.03,1,0.04,0,0.02,0,0.01,0,0.02,1,0.03
M,163,Hughes,4.9,4.9,Crystal Palace,0,0.00,20,0.84,17,0.82,17,0.73,17,0.79,19,0.84,18,0.83,20,0.84
M,164,Riedewald,4.4,4.4,Crystal Palace,0,0.00,4,0.14,3,0.13,3,0.11,2,0.09,2,0.09,3,0.12,3,0.12
D,165,Andersen,4.5,4.5,Crystal Palace,0,0.00,83,2.37,81,3.21,77,2.40,77,3.15,76,2.70,76,3.00,76,2.17
F,166,Edouard,5.3,5.3,Crystal Palace,0,0.00,46,2.21,44,2.76,46,2.39,45,2.54,43,2.26,46,2.71,46,2.22
D,167,Guéhi,4.4,4.4,Crystal Palace,0,0.00,82,2.32,82,3.14,79,2.39,79,3.12,78,2.70,77,2.95,77,2.16
F,168,Mateta,5.3,5.3,Crystal Palace,0,0.00,44,2.17,48,3.01,46,2.45,46,2.60,46,2.44,46,2.78,44,2.21
M,169,Eze,5.5,5.5,Crystal Palace,0,0.00,68,2.73,67,3.48,65,2.80,62,2.98,61,2.70,60,3.01,60,2.46
D,170,Mitchell,4.5,4.5,Crystal Palace,0,0.00,71,2.19,71,2.92,67,2.21,68,2.89,66,2.48,66,2.71,67,2.04
M,171,Olise,5.5,5.5,Crystal Palace,0,0.00,50,2.19,47,2.63,48,2.27,49,2.55,48,2.29,49,2.66,49,2.21
M,172,Rak-Sakyi,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,173,Ebiowei,4.4,4.4,Crystal Palace,0,0.00,11,0.53,11,0.63,11,0.56,11,0.61,12,0.63,12,0.65,14,0.70
D,174,Ferguson,3.9,3.9,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,175,Johnstone,4.4,4.4,Crystal Palace,0,0.00,2,0.07,2,0.09,4,0.16,4,0.17,3,0.14,4,0.17,4,0.14
G,176,Begović,4.0,4.0,Everton,1,0.04,2,0.08,1,0.04,2,0.08,3,0.11,5,0.19,3,0.12,4,0.16
F,177,Rondón,5.0,5.0,Everton,4,0.34,2,0.19,2,0.17,3,0.21,3,0.24,3,0.24,3,0.25,4,0.32
D,178,Coleman,4.5,4.5,Everton,25,0.94,26,0.87,26,0.83,24,0.57,26,0.76,25,1.07,26,0.89,26,1.07
M,179,Townsend,5.5,5.5,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,180,Keane,4.3,4.3,Everton,54,1.89,28,0.90,21,0.64,17,0.40,12,0.37,11,0.46,11,0.35,12,0.46
M,181,Dele,5.3,5.3,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,182,Pickford,4.5,4.5,Everton,89,3.61,88,3.40,89,3.36,88,3.14,87,3.25,85,3.70,87,3.34,85,3.58
M,183,Allan,4.8,4.8,Everton,2,0.07,1,0.05,2,0.08,3,0.10,3,0.10,3,0.10,3,0.11,3,0.13
M,184,André Gomes,4.5,4.5,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,185,A.Doucouré,5.3,5.3,Everton,41,1.53,72,2.54,69,2.41,67,2.08,66,2.17,68,2.57,66,2.31,68,2.61
M,186,Iwobi,5.5,5.5,Everton,61,2.29,52,1.88,52,1.91,53,1.72,50,1.72,54,2.10,52,1.91,51,2.07
M,187,Gbamin,4.5,4.5,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,188,Mina,4.3,4.3,Everton,0,0.00,0,0.00,6,0.21,26,0.65,41,1.21,50,2.10,62,2.02,61,2.43
M,189,Gray,5.5,5.5,Everton,61,3.10,57,2.61,55,2.57,54,2.17,56,2.38,53,2.71,54,2.48,53,2.83
M,190,Davies,4.9,4.9,Everton,14,0.63,10,0.47,11,0.49,13,0.54,15,0.63,15,0.66,14,0.61,15,0.71
F,191,Calvert-Lewin,7.9,7.9,Everton,33,1.76,73,3.53,72,3.44,73,2.88,71,3.05,71,3.69,72,3.41,71,3.86
D,192,Holgate,4.4,4.4,Everton,8,0.26,46,1.25,57,1.44,49,0.92,42,1.02,38,1.37,32,0.92,33,1.16
D,193,Godfrey,4.3,4.3,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,194,Mykolenko,4.5,4.5,Everton,79,2.82,77,2.42,74,2.22,72,1.57,72,2.00,70,2.89,67,2.17,66,2.65
M,195,Gordon,5.5,5.5,Everton,76,3.46,72,3.01,69,2.90,69,2.48,66,2.57,66,3.07,68,2.83,68,3.24
D,196,Branthwaite,4.0,4.0,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,197,Patterson,4.1,4.1,Everton,67,2.33,65,1.98,62,1.80,63,1.34,62,1.68,61,2.44,59,1.80,59,2.25
D,198,Nkounkou,4.0,4.0,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,199,Tarkowski,4.4,4.4,Everton,85,2.79,83,2.35,80,2.13,75,1.43,74,1.84,70,2.65,71,2.07,71,2.56
M,200,Cairney,4.8,4.8,Fulham,20,1.00,22,1.08,22,1.02,23,1.24,25,1.21,26,1.21,26,1.28,27,1.03
D,201,Ream,4.5,4.5,Fulham,82,2.66,77,2.32,77,1.86,76,3.11,74,2.42,75,1.98,73,2.77,74,1.06
M,202,Knockaert,4.8,4.8,Fulham,0,0.00,0,0.03,0,0.02,0,0.03,0,0.03,1,0.08,1,0.05,1,0.03
M,203,Chalobah,4.5,4.5,Fulham,9,0.40,9,0.40,11,0.48,12,0.53,13,0.57,15,0.63,16,0.67,16,0.60
M,204,Kebano,5.5,5.5,Fulham,31,1.80,28,1.58,25,1.34,23,1.54,23,1.36,30,1.65,24,1.48,24,1.05
M,205,De Cordova-Reid,5.5,5.5,Fulham,46,2.19,41,1.93,36,1.55,35,1.92,32,1.62,41,1.87,36,1.85,36,1.29
D,206,Bryan,4.4,4.4,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,207,Gazzaniga,4.0,4.0,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,208,Kongolo,3.9,3.9,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,209,Tosin,4.5,4.5,Fulham,85,2.91,82,2.60,80,2.07,79,3.45,76,2.64,77,2.16,76,3.07,74,1.06
F,210,Mitrović,6.9,6.9,Fulham,85,5.21,82,4.83,79,4.07,78,5.53,76,4.72,77,4.45,73,4.70,75,2.81
M,211,Reed,4.5,4.5,Fulham,75,2.41,71,2.22,70,2.04,69,2.40,65,2.10,64,1.96,64,2.14,62,1.60
M,212,Wilson,5.8,5.8,Fulham,0,0.00,8,0.43,24,1.15,41,2.61,49,2.78,50,2.65,46,2.79,46,1.70
G,213,Rodák,4.4,4.4,Fulham,1,0.05,3,0.11,3,0.12,4,0.17,5,0.19,6,0.21,6,0.25,6,0.23
M,214,Cavaleiro,4.8,4.8,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,215,Tete,4.5,4.5,Fulham,48,1.80,47,1.62,49,1.36,45,2.11,49,1.81,47,1.44,45,1.92,45,0.76
M,216,Onomah,4.4,4.4,Fulham,0,0.00,0,0.02,0,0.02,0,0.03,0,0.03,1,0.09,1,0.04,1,0.04
D,217,Robinson,4.5,4.5,Fulham,58,2.10,73,2.43,71,1.92,67,3.08,67,2.42,67,2.00,67,2.79,71,1.08
F,218,Muniz,5.4,5.4,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,219,Stansfield,4.5,4.5,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,220,Palhinha,5.0,5.0,Fulham,81,2.59,80,2.46,79,2.26,78,2.77,78,2.48,78,2.33,77,2.53,76,1.81
D,221,Cooper,4.4,4.4,Leeds,0,0.00,73,2.46,72,2.04,69,1.61,69,1.81,68,2.38,65,1.03,64,2.76
D,222,Ayling,4.5,4.5,Leeds,0,0.00,30,1.17,29,0.98,34,0.94,33,1.05,35,1.41,35,0.62,37,1.81
M,223,Klich,4.8,4.8,Leeds,0,0.00,35,1.75,34,1.54,33,1.44,32,1.47,34,1.69,35,1.34,34,1.81
M,224,Forshaw,4.5,4.5,Leeds,0,0.00,8,0.32,9,0.36,9,0.34,9,0.37,9,0.37,10,0.34,10,0.42
M,225,Rodrigo,6.3,6.3,Leeds,0,0.00,4,0.27,20,1.18,36,1.93,47,2.67,45,3.00,47,2.05,46,3.32
D,226,Dallas,4.9,4.9,Leeds,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,227,Bamford,7.3,7.3,Leeds,0,0.00,70,4.50,67,3.61,68,3.57,64,3.65,63,4.22,63,2.74,62,4.44
D,228,Llorente,4.5,4.5,Leeds,0,0.00,73,2.52,68,1.96,68,1.60,66,1.78,65,2.32,64,1.00,64,2.81
M,229,Roberts,5.0,5.0,Leeds,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,230,Koch,4.5,4.5,Leeds,0,0.00,23,0.86,29,0.92,31,0.81,31,0.92,30,1.14,32,0.57,33,1.50
M,231,James,6.0,6.0,Fulham,46,2.24,41,2.00,42,1.86,34,1.97,34,1.78,0,0.00,33,1.80,34,1.31
M,232,Raphinha,7.0,7.0,Leeds,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,233,Harrison,6.2,6.2,Leeds,0,0.00,71,3.53,69,2.96,67,2.81,66,2.95,64,3.31,64,2.31,64,3.56
M,234,Shackleton,4.5,4.5,Leeds,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,235,Struijk,4.5,4.5,Leeds,0,0.00,31,1.14,34,1.06,34,0.88,36,1.06,38,1.41,36,0.63,36,1.67
G,236,Klaesson,4.0,4.0,Leeds,0,0.00,1,0.04,1,0.04,1,0.05,3,0.13,5,0.22,4,0.16,4,0.17
F,237,Greenwood,4.4,4.4,Leeds,0,0.00,6,0.30,7,0.35,6,0.27,6,0.32,7,0.37,7,0.32,7,0.41
G,238,Meslier,4.5,4.5,Leeds,0,0.00,89,3.53,89,3.37,88,3.20,87,3.24,84,3.38,85,3.05,85,3.72
D,239,Firpo,4.5,4.5,Leeds,0,0.00,58,2.31,55,1.85,54,1.54,51,1.65,50,2.09,52,0.98,51,2.57
M,240,Summerville,4.4,4.4,Leeds,0,0.00,7,0.41,4,0.25,4,0.25,4,0.24,5,0.31,5,0.28,6,0.41
M,241,Bate,4.5,4.5,Leeds,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,242,Gelhardt,5.3,5.3,Leeds,0,0.00,23,1.39,22,1.17,19,1.02,17,0.98,20,1.24,20,0.95,19,1.25
D,243,Hjelde,3.9,3.9,Leeds,0,0.00,3,0.12,4,0.13,5,0.16,6,0.20,7,0.25,8,0.20,9,0.40
D,244,Kristensen,4.9,4.9,Leeds,0,0.00,77,2.69,76,2.22,74,1.79,74,2.05,74,2.71,72,1.13,72,3.24
M,245,Roca,4.9,4.9,Leeds,0,0.00,69,2.47,69,2.22,66,2.08,65,2.12,65,2.32,64,1.81,63,2.42
M,246,Aaronson,5.5,5.5,Leeds,0,0.00,71,3.25,68,2.73,67,2.61,67,2.74,64,3.05,63,2.13,64,3.26
M,247,Gyabi,4.4,4.4,Leeds,0,0.00,1,0.04,1,0.04,1,0.03,1,0.05,1,0.05,1,0.04,1,0.06
G,248,Schmeichel,5.0,5.0,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,249,Evans,4.4,4.4,Leicester,83,1.50,81,3.38,78,2.81,77,2.80,75,2.65,72,2.11,74,1.23,74,2.35
D,250,Bertrand,4.0,4.0,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,251,Albrighton,4.8,4.8,Leicester,8,0.30,12,0.60,12,0.56,14,0.64,14,0.67,16,0.65,17,0.63,16,0.69
M,252,Mendy,4.4,4.4,Leicester,7,0.25,10,0.39,9,0.34,10,0.39,11,0.41,11,0.42,11,0.39,10,0.37
D,253,Vestergaard,3.9,3.9,Leicester,1,0.02,1,0.03,1,0.03,1,0.07,1,0.06,1,0.04,2,0.07,2,0.09
G,254,Ward,4.0,4.0,Leicester,89,3.13,86,3.75,86,3.56,84,3.52,83,3.38,84,3.20,82,2.91,82,3.24
F,255,Vardy,9.3,9.3,Leicester,75,3.32,71,4.79,70,4.04,69,4.03,66,4.27,66,3.34,63,2.71,64,3.42
D,256,Ricardo,4.3,4.3,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,257,Amartey,4.4,4.4,Leicester,33,0.75,28,1.23,30,1.16,30,1.18,30,1.15,33,1.06,35,0.70,33,1.15
D,258,Castagne,4.4,4.4,Leicester,74,1.53,74,3.29,69,2.64,68,2.71,70,2.67,66,2.08,68,1.14,69,2.35
M,259,Tielemans,6.3,6.3,Leicester,68,2.18,67,2.99,63,2.52,64,2.62,62,2.69,63,2.32,63,2.02,64,2.44
M,260,Pérez,4.9,4.9,Leicester,32,1.39,30,1.75,33,1.70,32,1.68,35,1.91,33,1.54,35,1.45,33,1.59
M,261,Maddison,7.9,7.9,Leicester,79,3.15,76,4.76,74,4.02,73,3.99,71,4.23,72,3.33,69,2.71,70,3.46
F,262,Iheanacho,6.2,6.2,Leicester,21,1.06,25,1.64,26,1.54,26,1.59,28,1.77,28,1.48,29,1.34,30,1.65
M,263,Choudhury,4.5,4.5,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,264,Barnes,6.9,6.9,Leicester,70,2.90,65,4.07,68,3.65,65,3.56,63,3.74,63,3.01,63,2.52,63,3.18
M,265,Ndidi,4.9,4.9,Leicester,68,1.72,68,2.20,67,1.99,66,1.96,66,1.98,62,1.71,64,1.56,63,1.79
M,266,Dewsbury-Hall,5.0,5.0,Leicester,55,1.70,55,2.25,58,2.16,60,2.23,59,2.28,57,1.92,56,1.66,56,1.94
D,267,Söyüncü,4.3,4.3,Leicester,5,0.11,7,0.29,9,0.32,9,0.33,11,0.41,12,0.36,12,0.23,13,0.42
D,268,Justin,4.3,4.3,Leicester,80,1.60,76,3.29,74,2.79,75,2.89,73,2.73,74,2.27,73,1.21,71,2.38
M,269,Soumaré,4.4,4.4,Leicester,53,1.61,54,1.98,53,1.82,49,1.71,49,1.74,50,1.63,50,1.49,48,1.61
D,270,Thomas,4.3,4.3,Leicester,26,0.56,27,1.20,33,1.27,31,1.19,31,1.17,34,1.07,33,0.62,34,1.15
F,271,Daka,5.7,5.7,Leicester,20,1.01,24,1.57,24,1.41,24,1.41,29,1.80,27,1.41,28,1.30,30,1.60
D,272,Fofana,4.4,4.4,Chelsea,0,0.00,78,3.14,75,3.53,74,2.83,73,2.83,73,2.74,71,2.59,71,2.51
D,273,Brunt,4.0,4.0,Leicester,0,0.01,1,0.05,1,0.04,1,0.05,1,0.06,1,0.05,2,0.05,2,0.07
M,274,Milner,4.5,4.5,Liverpool,0,0.00,28,1.44,17,0.80,13,0.65,12,0.70,11,0.66,16,0.92,15,0.71
M,275,Henderson,5.3,5.3,Liverpool,0,0.00,9,0.42,30,1.17,48,1.76,51,2.28,53,2.37,48,2.34,47,1.81
D,276,Matip,5.9,5.9,Liverpool,0,0.00,75,3.70,71,2.26,63,1.77,62,3.02,61,3.04,59,3.02,57,1.87
M,277,Thiago,5.2,5.2,Liverpool,0,0.00,65,2.69,66,2.27,63,2.11,59,2.50,60,2.56,57,2.63,54,1.96
M,278,Chamberlain,4.9,4.9,Liverpool,0,0.00,0,0.00,0,0.00,0,0.03,0,0.04,1,0.07,2,0.20,4,0.25
F,279,Firmino,8.0,8.0,Liverpool,0,0.00,25,1.58,18,1.05,19,1.07,22,1.51,21,1.46,25,1.84,26,1.43
D,280,Van Dijk,6.5,6.5,Liverpool,0,0.00,79,3.83,82,2.58,80,2.26,81,3.94,80,3.98,79,4.09,78,2.61
G,281,Alisson,5.5,5.5,Liverpool,0,0.00,89,4.18,87,3.45,87,3.33,86,3.98,86,4.05,85,3.98,86,3.45
M,282,Fabinho,5.4,5.4,Liverpool,0,0.00,74,2.56,77,2.24,74,2.12,74,2.64,74,2.68,73,2.77,71,2.16
M,283,Salah,12.9,12.9,Liverpool,0,0.00,76,6.37,77,5.07,77,4.89,74,6.76,73,6.80,74,7.77,73,5.02
D,284,Robertson,6.8,6.8,Liverpool,0,0.00,6,0.30,38,1.40,60,1.97,70,3.90,69,3.95,65,3.87,66,2.54
D,285,Alexander-Arnold,7.5,7.5,Liverpool,0,0.00,76,4.86,78,3.25,76,2.86,75,4.87,76,5.02,73,5.12,73,3.22
D,286,Gomez,4.5,4.5,Liverpool,0,0.00,32,1.49,20,0.61,16,0.44,13,0.50,15,0.62,19,0.84,19,0.63
M,287,Keita,4.8,4.8,Liverpool,0,0.00,0,0.00,0,0.00,2,0.09,4,0.23,8,0.43,15,0.87,18,0.86
F,288,Diogo Jota,8.9,8.9,Liverpool,0,0.00,48,2.97,46,2.45,46,2.40,47,3.15,46,3.14,44,3.34,49,2.60
G,289,Kelleher,4.0,4.0,Liverpool,0,0.00,1,0.05,3,0.11,3,0.11,4,0.18,4,0.16,4,0.20,3,0.13
D,290,Konaté,4.8,4.8,Liverpool,0,0.00,4,0.16,16,0.48,27,0.75,30,1.40,30,1.43,30,1.45,33,1.05
M,291,Jones,4.9,4.9,Liverpool,0,0.00,29,1.41,22,0.98,17,0.78,18,0.93,18,0.94,17,0.96,17,0.79
D,292,Tsimikas,4.5,4.5,Liverpool,0,0.00,61,3.35,41,1.55,24,0.88,17,0.92,18,0.98,19,1.15,17,0.72
M,293,Luis Díaz,8.2,8.2,Liverpool,0,0.00,58,3.45,65,3.12,63,2.93,63,4.01,62,3.99,61,4.30,56,2.82
M,294,Elliott,5.0,5.0,Liverpool,0,0.00,30,1.57,27,1.26,25,1.16,25,1.45,25,1.43,23,1.45,26,1.27
D,295,N.Williams,4.1,4.1,Nott'm Forest,80,3.19,71,2.15,62,2.38,58,1.82,59,1.60,54,1.17,52,1.01,55,2.16
M,296,Carvalho,5.4,5.4,Liverpool,0,0.00,14,0.88,9,0.50,10,0.55,10,0.65,9,0.63,11,0.82,12,0.65
F,297,Darwin,8.9,8.9,Liverpool,0,0.00,53,3.57,57,3.15,58,3.12,55,3.92,56,4.00,52,4.18,52,2.98
D,298,Ramsay,3.9,3.9,Liverpool,0,0.00,4,0.15,3,0.08,4,0.10,4,0.17,4,0.15,4,0.15,5,0.14
D,299,Walker,5.1,5.1,Man City,28,1.33,62,2.74,71,3.70,72,2.20,0,0.00,72,3.63,64,2.95,62,3.29
M,300,Gündogan,7.6,7.6,Man City,58,3.10,55,3.08,54,3.61,55,2.43,0,0.00,58,3.31,52,3.04,52,3.65
M,301,De Bruyne,12.2,12.2,Man City,82,5.31,76,5.25,69,5.57,71,3.70,0,0.00,70,4.91,67,4.74,66,5.41
D,302,Stones,5.4,5.4,Man City,53,2.68,51,2.44,56,3.06,49,1.60,0,0.00,44,2.36,44,2.18,44,2.48
M,303,Mahrez,7.6,7.6,Man City,32,2.36,36,2.75,36,3.21,39,2.34,0,0.00,36,2.81,34,2.73,38,3.41
M,304,Sterling,10.0,10.0,Chelsea,0,0.00,74,4.12,71,4.60,70,4.00,70,4.14,70,4.16,66,3.56,68,3.83
M,305,Grealish,6.8,6.8,Man City,42,2.54,43,2.68,50,3.66,48,2.34,0,0.00,47,3.03,50,3.15,47,3.42
D,306,Cancelo,7.1,7.0,Man City,81,4.53,77,4.13,72,4.63,71,2.55,0,0.00,72,4.32,67,3.70,67,4.34
G,307,Ederson,5.5,5.5,Man City,89,4.20,88,3.94,88,4.29,87,3.41,0,0.00,87,4.25,87,3.98,87,4.25
D,308,Aké,5.0,5.0,Man City,72,3.91,66,3.40,55,3.35,50,1.86,0,0.00,43,2.48,40,2.16,40,2.48
D,309,Laporte,5.8,5.8,Man City,0,0.00,0,0.00,0,0.00,24,0.83,0,0.00,42,2.34,59,3.00,60,3.53
G,310,Steffen,4.0,4.0,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,311,Bernardo,7.0,7.0,Man City,61,3.13,62,3.33,61,3.61,62,2.56,0,0.00,60,3.17,59,3.08,60,3.56
D,312,Dias,6.0,6.0,Man City,76,3.88,68,3.30,68,3.83,68,2.21,0,0.00,65,3.51,60,3.00,58,3.31
D,313,Zinchenko,5.1,5.1,Arsenal,71,3.07,61,2.51,63,2.12,60,2.66,0,0.00,58,2.58,59,3.38,60,1.94
M,314,Foden,8.0,8.0,Man City,68,4.03,67,4.16,61,4.47,61,3.00,0,0.00,63,4.02,60,3.83,60,4.40
M,315,Rodri,5.9,5.9,Man City,79,2.99,77,2.93,74,3.13,76,2.41,0,0.00,74,2.88,73,2.75,72,3.02
M,316,Palmer,4.4,4.4,Man City,3,0.17,4,0.22,8,0.51,6,0.29,0,0.00,8,0.50,10,0.61,10,0.67
M,317,McAtee,4.5,4.5,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,318,Haaland,12.0,11.7,Man City,76,6.35,75,6.84,66,7.00,71,4.78,0,0.00,64,5.72,64,5.70,62,6.58
