Pos,ID,Name,BV,SV,Team,20_xMins,20_Pts,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts
M,569,Garnacho,4.2,4.2,Man Utd,26,2.55,18,0.86,16,1.63,18,1.09,19,1.23,19,0.23,20,1.00,21,1.39,20,0.27
M,570,Garner,4.5,4.5,Everton,0,0.00,0,0.00,6,0.20,19,0.55,24,1.15,22,0.79,25,0.88,25,0.91,28,0.85
G,571,Randolph,4.0,4.0,West Ham,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,572,Oko-Flex,4.4,4.4,West Ham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,573,Lewis,3.9,3.9,Man City,40,3.59,52,3.14,50,2.08,45,4.21,39,2.11,40,2.29,39,1.98,39,2.06,37,0.42
G,574,Neto,4.5,4.5,Bournemouth,29,1.05,54,2.23,87,3.10,86,3.15,85,3.23,83,2.94,84,2.95,82,2.86,83,2.97
M,575,Cornet,5.9,5.9,West Ham,6,0.27,18,1.00,26,1.19,30,1.45,35,1.51,33,1.46,33,1.46,32,1.68,34,0.26
D,576,Senesi,4.5,4.5,Bournemouth,78,1.77,73,2.54,71,1.30,65,1.50,68,1.84,68,1.10,67,1.08,65,1.12,66,1.45
M,577,Onana,4.8,4.8,Everton,83,2.93,83,2.45,77,2.27,74,2.00,74,3.13,73,2.44,70,2.32,68,2.36,67,1.93
G,578,Robles,4.0,4.0,Leeds,1,0.00,1,0.04,3,0.14,2,0.04,3,0.08,2,0.07,3,0.11,3,0.11,3,0.04
M,579,Guedes,5.9,5.9,Wolves,28,1.66,26,1.16,28,1.41,27,1.71,28,1.85,28,1.47,23,1.64,24,1.17,24,0.78
M,580,Damsgaard,5.1,5.1,Brentford,22,1.33,22,1.21,23,1.46,23,1.04,25,1.43,28,0.26,26,1.52,29,1.54,28,0.73
G,581,Smithies,4.0,4.0,Leicester,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.00,1,0.00,0,0.00
M,582,Freuler,4.9,4.9,Nott'm Forest,80,2.53,79,2.47,75,2.47,74,2.16,73,1.91,73,1.66,71,2.33,71,1.93,70,2.01
M,583,Kouyaté,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,3,0.10,16,0.64,25,0.86,31,1.08
M,584,Clark,4.5,4.5,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,585,Dennis,5.7,5.7,Nott'm Forest,31,1.69,28,1.51,27,1.52,26,1.25,24,1.02,24,0.90,23,1.28,22,0.99,22,1.04
D,586,Estupiñán,4.5,4.5,Brighton,72,2.23,70,2.93,65,3.71,66,2.80,63,3.06,67,0.46,65,3.08,64,2.64,62,0.61
D,587,Sergio Gómez,4.5,4.5,Man City,12,1.12,8,0.45,8,0.30,8,0.71,9,0.48,9,0.43,10,0.45,9,0.41,9,0.10
D,588,Kehrer,4.5,4.5,West Ham,85,2.81,69,2.83,78,1.85,77,2.42,78,1.74,76,2.61,75,1.91,76,2.75,73,0.24
M,589,Matheus,4.8,4.8,Wolves,66,2.51,67,1.92,63,2.13,60,2.58,59,2.58,59,2.11,59,2.67,57,1.86,57,1.23
G,590,Whitworth,4.0,4.0,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,591,Ablade,4.5,4.5,Fulham,0,0.00,0,0.00,1,0.00,1,0.08,2,0.07,2,0.08,2,0.07,3,0.13,2,0.02
G,592,H.Davies,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,593,Casemiro,4.9,4.9,Man Utd,79,4.95,69,2.06,73,4.56,74,2.65,69,2.71,67,0.52,68,2.03,66,2.71,69,0.60
F,594,Isak,6.6,6.6,Newcastle,30,2.11,38,2.32,41,2.69,52,3.40,51,2.91,53,0.70,52,2.26,53,3.45,53,3.25
D,595,Zanka,4.0,4.0,Brentford,51,2.26,19,0.61,18,0.73,21,0.47,17,0.65,21,0.10,21,0.79,22,0.79,22,0.37
F,596,Ferguson,4.5,4.5,Brighton,58,2.73,42,1.99,27,1.61,19,1.04,20,1.15,17,0.18,21,1.15,20,1.08,23,0.31
F,597,Saydee,4.5,4.5,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,598,Bevan,4.0,4.0,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,599,Gomes,4.5,4.5,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,600,Knight,4.5,4.5,Man City,0,0.00,0,0.00,0,0.00,0,0.00,1,0.00,1,0.00,1,0.00,0,0.00,1,0.00
M,601,Rodney,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.00
D,602,Renan Lodi,4.3,4.3,Nott'm Forest,72,2.63,66,2.40,63,2.37,65,1.87,62,1.16,64,1.43,60,2.44,59,1.20,60,1.71
M,603,Paquetá,5.9,5.9,West Ham,76,3.28,75,3.76,72,2.66,69,2.91,68,2.62,69,2.92,70,2.75,70,3.34,67,0.43
M,604,Phillips,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,605,Welch,4.0,4.0,Everton,1,0.00,1,0.03,2,0.05,2,0.02,2,0.04,2,0.03,0,0.00,0,0.00,1,0.00
M,606,Vale,4.5,4.5,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,607,Smith,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,608,Kalajdžić,5.3,5.3,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,609,Antony,7.4,7.4,Man Utd,80,6.49,75,2.89,75,6.43,73,3.54,71,3.79,73,0.77,72,2.78,71,4.03,70,0.80
D,610,Akanji,5.0,5.0,Man City,67,5.35,56,3.02,52,1.97,46,3.87,43,2.13,44,2.25,40,1.85,40,1.89,39,0.40
M,611,Gueye,4.9,4.9,Everton,82,2.76,79,2.32,76,2.18,70,1.88,70,2.83,69,2.26,68,2.17,67,2.19,68,1.90
D,612,Faes,4.4,4.4,Leicester,86,2.85,83,2.46,81,2.14,79,2.10,75,1.33,76,1.72,76,2.47,73,2.11,71,0.82
D,613,Kurzawa,4.3,4.3,Fulham,72,1.69,9,0.27,12,0.33,14,0.58,13,0.40,15,0.66,15,0.48,16,0.49,15,0.11
M,614,Willian,5.5,5.5,Fulham,76,3.02,73,3.50,70,2.77,67,3.82,68,2.82,67,3.58,64,2.93,64,2.69,66,0.84
G,615,Kovár,4.0,4.0,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,616,Zakaria,5.0,5.0,Chelsea,46,1.67,55,1.62,47,1.75,40,1.34,43,1.68,42,1.33,42,1.62,37,1.29,35,1.34
F,617,Aubameyang,8.6,8.6,Chelsea,50,3.11,54,2.64,48,3.11,30,1.80,32,2.29,32,1.75,28,2.08,30,1.90,26,1.82
F,618,Vinícius,5.4,5.4,Fulham,8,0.44,12,0.68,13,0.68,17,1.08,16,0.87,18,1.11,21,1.12,19,0.96,17,0.28
F,619,Gnonto,5.0,5.0,Leeds,74,2.64,68,2.73,57,3.51,44,1.76,36,1.55,30,1.19,32,1.25,31,1.40,32,0.70
M,620,Arthur,4.8,4.8,Liverpool,0,0.00,0,0.00,1,0.00,4,0.17,5,0.21,8,0.36,8,0.43,8,0.34,9,0.13
D,621,Badé,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,622,Larios,4.0,4.0,Southampton,0,0.00,3,0.11,15,0.44,21,0.88,19,0.51,20,0.52,18,0.68,17,0.42,21,0.13
D,623,Caleta-Car,4.5,4.5,Southampton,57,1.75,58,1.76,27,0.72,24,0.93,21,0.46,26,0.56,28,0.97,26,0.49,25,0.13
M,624,Edozie,4.7,4.7,Southampton,47,2.13,48,2.21,37,1.63,33,1.68,32,1.32,32,1.20,33,1.66,33,1.36,33,0.31
F,625,Diego Costa,5.5,5.5,Wolves,41,2.05,43,1.60,37,1.70,37,2.16,38,2.28,35,1.70,35,2.19,33,1.41,33,1.00
G,626,Karius,4.0,4.0,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,1,0.00,0,0.00,0,0.00,0,0.00,1,0.00
G,627,Jakupović,4.0,4.0,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,628,Aurier,4.5,4.5,Nott'm Forest,72,2.92,68,2.70,65,2.70,63,1.94,61,1.18,61,1.48,62,2.73,60,1.32,60,1.84
M,629,Traoré,4.4,4.4,Wolves,0,0.00,0,0.00,3,0.07,13,0.49,22,0.84,25,0.88,29,1.25,28,0.90,27,0.51
M,630,Nwaneri,4.5,4.5,Arsenal,0,0.00,2,0.05,1,0.00,1,0.00,0,0.00,1,0.00,0,0.00,1,0.00,1,0.00
D,631,Sousa,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,1,0.00,1,0.01,1,0.04,1,0.04,1,0.04,1,0.03
M,632,Trevitt,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,633,Cox,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,634,Gordon,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,635,Bettinelli,4.0,4.0,Chelsea,1,0.00,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,636,Parkes,4.0,4.0,Fulham,1,0.00,0,0.00,1,0.00,0,0.00,2,0.03,0,0.00,0,0.00,1,0.00,1,0.00
D,637,John,4.0,4.0,Everton,1,0.00,1,0.03,2,0.02,2,0.02,2,0.06,1,0.00,1,0.00,1,0.00,1,0.00
D,638,Bogarde,4.0,4.0,Aston Villa,0,0.00,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,639,Braybrooke,4.5,4.5,Leicester,7,0.28,4,0.17,2,0.09,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,640,Turns,4.0,4.0,Brighton,0,0.00,0,0.00,1,0.00,0,0.00,1,0.00,1,0.00,1,0.05,1,0.04,1,0.01
M,641,Godo,4.5,4.5,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,1,0.00,0,0.00,0,0.00,1,0.00,1,0.00
D,642,Balmer,4.0,4.0,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,643,Mainoo,4.5,4.5,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,644,Goodman,4.0,4.0,Crystal Palace,0,0.00,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,645,Wormleighton,4.0,4.0,Leicester,2,0.06,1,0.03,2,0.05,2,0.03,1,0.02,1,0.00,1,0.00,1,0.00,0,0.00
D,646,Crama,4.0,4.0,Brentford,0,0.00,0,0.00,0,0.00,1,0.00,1,0.00,1,0.00,1,0.00,0,0.00,1,0.00
M,647,Payne,4.5,4.5,Southampton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,648,Finnigan,4.5,4.5,Southampton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,649,Plain,4.0,4.0,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,650,Yarmolyuk,4.5,4.5,Brentford,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,651,Moran,4.5,4.5,Brighton,1,0.05,3,0.11,3,0.12,3,0.10,4,0.17,4,0.03,3,0.11,3,0.16,4,0.04
D,652,Furlong,4.0,4.0,Brighton,0,0.00,1,0.00,0,0.00,1,0.00,1,0.00,1,0.00,1,0.04,1,0.00,1,0.01
M,653,Hutchinson,4.5,4.5,Chelsea,5,0.18,2,0.04,1,0.05,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,654,Wells-Morrison,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.00
G,655,Hein,4.0,4.0,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,656,Bishop,4.0,4.0,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,657,Fraser,4.5,4.5,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,658,Griffiths,4.5,4.5,Wolves,0,0.00,0,0.00,0,0.00,1,0.00,1,0.05,1,0.00,0,0.00,0,0.00,0,0.00
F,659,Mateo Joseph,4.5,4.5,Leeds,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,660,Shoretire,4.5,4.5,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,661,Hall,4.4,4.4,Chelsea,36,1.40,31,1.02,14,0.55,7,0.25,9,0.40,8,0.32,9,0.39,8,0.33,9,0.39
F,662,Cannon,4.5,4.5,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,663,Perkins,4.5,4.5,Leeds,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,664,Lembikisa,4.0,4.0,Wolves,2,0.06,4,0.06,6,0.12,6,0.17,6,0.23,4,0.11,5,0.17,4,0.10,6,0.09
M,665,Doak,4.5,4.5,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.00,0,0.00,0,0.00,0,0.00
F,666,Dale Taylor,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,667,Sekularac,4.5,4.5,Fulham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,668,Cozier-Duberry,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,669,Mubama,4.5,4.5,West Ham,1,0.00,0,0.00,0,0.00,1,0.00,1,0.00,1,0.06,1,0.00,1,0.00,1,0.00
G,670,Marschall,4.0,4.0,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,671,Morgan,4.5,4.5,Southampton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,672,Kadan Young,4.5,4.5,Aston Villa,1,0.00,1,0.00,1,0.00,1,0.00,1,0.04,1,0.00,1,0.05,1,0.00,1,0.00
D,673,Humphreys,4.5,4.5,Chelsea,2,0.07,1,0.00,1,0.00,1,0.00,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,674,Bennett,4.0,4.0,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.00
G,675,Smith,4.0,4.0,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,676,Ozoh,4.5,4.5,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.00,0,0.00
M,677,Hinshelwood,4.5,4.5,Brighton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.00,0,0.00,0,0.00,0,0.00
M,678,Price,4.5,4.5,Everton,0,0.00,1,0.00,1,0.00,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,679,Buonanotte,4.5,4.5,Brighton,1,0.05,2,0.11,2,0.12,3,0.10,2,0.11,3,0.02,2,0.11,3,0.11,3,0.04
M,680,Gakpo,8.0,8.0,Liverpool,77,4.26,74,4.19,69,3.94,66,5.21,61,3.04,59,3.40,59,4.50,56,3.67,49,1.09
M,681,Scarpa,5.0,5.0,Nott'm Forest,29,1.34,24,1.11,25,1.18,27,1.11,22,0.83,20,0.69,20,0.95,21,0.83,20,0.83
F,682,Cunha,5.5,5.5,Wolves,40,2.05,46,1.67,55,2.32,53,2.78,51,2.71,48,2.17,51,2.87,51,1.95,51,1.37
M,683,Kuol,4.5,4.5,Newcastle,3,0.10,2,0.09,3,0.14,4,0.18,4,0.13,4,0.04,4,0.12,3,0.14,4,0.14
F,684,D.D.Fofana,5.0,5.0,Chelsea,27,1.63,17,0.91,9,0.64,4,0.22,4,0.26,5,0.27,5,0.33,4,0.29,4,0.25
F,685,Butler-Oyedeji,4.5,4.5,Arsenal,1,0.00,2,0.08,2,0.17,2,0.18,1,0.00,0,0.00,1,0.00,1,0.00,1,0.00
F,686,Simms,4.5,4.5,Everton,1,0.00,1,0.08,1,0.08,2,0.08,1,0.00,1,0.09,1,0.09,1,0.09,1,0.08
M,687,McAteer,4.5,4.5,Leicester,7,0.28,5,0.23,1,0.05,1,0.00,0,0.00,0,0.00,1,0.00,0,0.00,1,0.00
M,688,Schade,5.0,5.0,Brentford,17,1.25,22,1.32,30,2.08,36,1.66,38,2.33,51,0.45,50,3.08,46,2.52,49,1.29
D,689,Badiashile,5.0,5.0,Chelsea,5,0.23,6,0.15,3,0.15,3,0.09,6,0.29,9,0.29,10,0.45,12,0.43,12,0.52
F,690,João Félix,7.5,7.5,Chelsea,0,0.00,0,0.00,0,0.00,69,3.10,67,3.79,69,2.93,68,3.81,64,3.08,63,3.44
D,691,Wöber,4.5,4.5,Leeds,11,0.33,16,0.51,19,0.85,19,0.46,20,0.62,21,0.66,22,0.48,22,0.64,19,0.32
M,692,Orsic,5.5,5.5,Southampton,26,1.28,31,1.53,51,2.12,58,2.65,60,2.12,57,1.86,58,2.70,56,2.01,56,0.46
G,10023,Alfie Whiteman,99.9,99.9,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,10090,Leonardo Campana,99.9,99.9,Wolves,0,0.00,0,0.00,1,0.00,1,0.00,1,0.00,1,0.00,0,0.00,0,0.00,0,0.00
G,10104,Mark Gillespie,99.9,99.9,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,10150,Andy Lonergan,99.9,99.9,Everton,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.00,0,0.00
D,10241,Benjamin Mendy,99.9,99.9,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,10249,Matty Longstaff,99.9,99.9,Newcastle,4,0.20,5,0.23,5,0.24,6,0.29,5,0.22,4,0.03,2,0.09,3,0.10,3,0.10
D,10260,Axel Tuanzebe,99.9,99.9,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.00,0,0.00,0,0.00,0,0.00
F,10263,Mason Greenwood,99.9,99.9,Man Utd,1,0.09,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.00,0,0.00
G,10264,Jed Steer,99.9,99.9,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,10347,Adnan Kanuric,99.9,99.9,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,10348,Gustavo Scarpa,99.9,99.9,Nott'm Forest,24,1.14,30,1.40,30,1.42,29,1.21,27,1.00,27,0.88,24,1.18,24,0.98,23,0.99
M,10350,Mykhaylo Mudryk,99.9,99.9,Arsenal,0,0.00,5,0.30,22,1.37,21,2.49,21,1.48,18,1.07,18,1.21,16,0.96,19,0.88
G,10351,Gabriel Slonina,99.9,99.9,Chelsea,1,0.00,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,10358,Luizão,99.9,99.9,West Ham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.00,0,0.00
G,10359,Louie Moulden,99.9,99.9,Wolves,0,0.00,1,0.00,1,0.00,0,0.01,1,0.05,1,0.00,1,0.05,1,0.04,2,0.02
M,10360,Brandon Aguilera,99.9,99.9,Nott'm Forest,0,0.00,1,0.00,0,0.00,1,0.00,1,0.05,1,0.04,1,0.05,1,0.00,0,0.00
M,10365,Andrey Santos,99.9,99.9,Chelsea,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,10366,Carlos Alcaraz,99.9,99.9,Southampton,4,0.17,3,0.09,2,0.04,2,0.05,1,0.04,2,0.04,2,0.09,3,0.08,2,0.02
M,10367,Wout Weghorst,99.9,99.9,Man Utd,11,1.35,24,1.30,26,3.10,27,1.83,27,2.00,25,0.39,25,1.32,26,2.05,26,0.42
D,10369,Álex Moreno,99.9,99.9,Aston Villa,12,0.47,19,0.74,38,1.67,48,0.90,58,1.66,55,2.09,58,2.57,56,1.85,55,2.76
M,10370,Georginio Rutter,99.9,99.9,Leeds,0,0.00,1,0.00,0,0.00,1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00