Pos,ID,Name,BV,SV,Team,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,Elite%,Mins 4,Mins 5,Mins 6,Mins 7,Mins 8,Mins 9,Mins 10,Mins 11,Mins 12,Mins 13,Mins 14,Mins 15,EV4,EV5,EV6,EV7,EV8,EV9,EV10,EV11,EV12,EV13,EV14,EV15,Max EV,Max Mins,Sum EV,Sum Mins,Logic,PosPr,PosPrTeam
M,83,Tavernier,5.5,5.5,Bournemouth,76,3.87,72,2.94,70,2.76,71,3.36,71,3.6,71,3.5,70,3.37,69,3.35,68,3.78,68,2.9,67,3.5,0,76,72,72,70,71,71,71,70,69,68,68,67,3.87,2.94,3.07,2.76,3.36,3.6,3.5,3.37,3.35,3.78,2.9,3.5,3.87,76,40,845,TRUE,M5.5,M5.5Bournemouth
M,106,Schade,5.4,5.4,Brentford,69,3.8,63,2.7,55,2.55,54,3.03,46,2.31,42,2.52,39,1.81,43,2.23,42,1.81,40,2.16,38,1.73,0,69,63,58,55,54,46,42,39,43,42,40,38,3.8,2.7,3.37,2.55,3.03,2.31,2.52,1.81,2.23,1.81,2.16,1.73,3.8,69,30.02,589,TRUE,M5.4,M5.5Brentford
M,95,Jensen,5.4,5.4,Brentford,0,0,32,1.15,66,2.36,66,2.63,66,2.5,65,2.78,65,2.19,65,2.48,65,2.13,65,2.61,64,2.18,0,0,32,56,66,66,66,65,65,65,65,65,64,0,1.15,2.4,2.36,2.63,2.5,2.78,2.19,2.48,2.13,2.61,2.18,2.78,66,25.41,675,TRUE,M5.4,M5.5Brentford
M,618,Georginio,5.5,5.5,Brighton,56,2.92,45,2.16,40,1.72,41,1.81,41,2.13,41,2.77,39,1.97,40,2.17,38,2.21,42,2.18,42,2.47,0,56,45,40,40,41,41,41,39,40,38,42,42,2.92,2.16,2.47,1.72,1.81,2.13,2.77,1.97,2.17,2.21,2.18,2.47,2.92,56,26.98,505,TRUE,M5.5,M5.5Brighton
M,135,Minteh,5.5,5.5,Brighton,52,2.87,41,2.08,36,1.62,35,1.63,37,1.98,36,2.48,36,1.88,36,2.12,36,2.18,36,1.98,37,2.3,0.02,52,41,37,36,35,37,36,36,36,36,36,37,2.87,2.08,2.4,1.62,1.63,1.98,2.48,1.88,2.12,2.18,1.98,2.3,2.87,52,25.52,455,TRUE,M5.5,M5.5Brighton
M,230,McNeil,5.5,5.5,Everton,84,3.68,82,3.48,78,3.5,76,3.05,75,3.58,75,2.77,75,3.63,77,2.84,76,2.35,78,3.18,78,2.36,0.02,84,82,79,78,76,75,75,75,77,76,78,78,3.68,3.48,3.43,3.5,3.05,3.58,2.77,3.63,2.84,2.35,3.18,2.36,3.68,84,37.85,933,TRUE,M5.5,M5.5Everton
M,240,Andreas,5.3,5.3,Fulham,75,2.58,75,3.5,70,3.76,71,3.14,69,3.86,69,2.8,68,3.36,68,2.72,66,2.41,66,3.96,66,2.77,0,75,75,72,70,71,69,69,68,68,66,66,66,2.58,3.5,3.38,3.76,3.14,3.86,2.8,3.36,2.72,2.41,3.96,2.77,3.96,75,38.24,835,TRUE,M5.3,M5.5Fulham
M,247,Iwobi,5.5,5.5,Fulham,86,2.64,81,3.37,79,3.69,77,3.05,77,3.64,75,2.75,75,3.28,76,2.69,74,2.46,73,3.79,76,2.72,0,86,81,81,79,77,77,75,75,76,74,73,76,2.64,3.37,3.34,3.69,3.05,3.64,2.75,3.28,2.69,2.46,3.79,2.72,3.79,86,37.42,930,TRUE,M5.5,M5.5Fulham
M,274,Hutchinson,5.3,5.3,Ipswich,81,3.13,79,3.52,75,3.47,72,2.48,72,2.87,72,2.69,72,3.06,70,3.01,71,2.83,69,2.83,69,2.1,0,81,79,76,75,72,72,72,72,70,71,69,69,3.13,3.52,2.94,3.47,2.48,2.87,2.69,3.06,3.01,2.83,2.83,2.1,3.52,81,34.93,878,TRUE,M5.3,M5.5Ipswich
M,298,Mavididi,5.3,5.3,Leicester,66,3.41,59,2.98,56,2.73,56,2.45,54,2.61,54,2.51,55,2.89,55,2.75,53,2.32,54,2.99,54,2.03,0,66,59,56,56,56,54,54,55,55,53,54,54,3.41,2.98,2.88,2.73,2.45,2.61,2.51,2.89,2.75,2.32,2.99,2.03,3.41,66,32.55,672,TRUE,M5.3,M5.5Leicester
M,378,Mainoo,5.3,5.3,Man Utd,64,1.93,82,2.77,76,2.44,72,2.65,72,2.37,69,2.48,70,1.89,67,2.37,67,1.78,68,2.35,69,2.28,0,64,82,78,76,72,72,69,70,67,67,68,69,1.93,2.77,2.47,2.44,2.65,2.37,2.48,1.89,2.37,1.78,2.35,2.28,2.77,82,27.78,854,TRUE,M5.3,M5.5Man Utd
M,434,Hudson-Odoi,5.4,5.4,Nott'm Forest,66,2.48,62,2.79,63,3,58,2.61,57,1.93,57,2.88,55,1.86,55,2.14,55,2.41,55,2.37,54,2.32,0,66,62,61,63,58,57,57,55,55,55,55,54,2.48,2.79,2.65,3,2.61,1.93,2.88,1.86,2.14,2.41,2.37,2.32,3,66,29.44,698,TRUE,M5.4,M5.5Nott'm Forest
M,432,Elanga,5.3,5.3,Nott'm Forest,52,2.13,49,2.41,55,2.86,48,2.33,49,1.82,47,2.53,47,1.72,48,2.02,46,2.25,46,2.16,47,2.23,0,52,49,49,55,48,49,47,47,48,46,46,47,2.13,2.41,2.34,2.86,2.33,1.82,2.53,1.72,2.02,2.25,2.16,2.23,2.86,55,26.8,583,TRUE,M5.3,M5.5Nott'm Forest
M,584,Brereton Díaz,5.3,5.3,Southampton,42,1.75,47,3.08,51,3.13,50,2.71,48,2.27,49,2.39,49,2.56,47,2.27,46,2.5,48,2.34,53,3.16,0.01,42,47,51,51,50,48,49,49,47,46,48,53,1.75,3.08,1.96,3.13,2.71,2.27,2.39,2.56,2.27,2.5,2.34,3.16,3.16,53,30.12,581,TRUE,M5.3,M5.5Southampton
M,20,Thomas,5,5,Arsenal,69,2.83,51,1.81,32,1.14,33,1.13,33,1.32,33,1.22,32,1.2,34,1.21,33,1.34,34,1.24,33,1.35,0,69,51,37,32,33,33,33,32,34,33,34,33,2.83,1.81,1.27,1.14,1.13,1.32,1.22,1.2,1.21,1.34,1.24,1.35,2.83,69,17.06,454,TRUE,M5,M5Arsenal
M,54,Rogers,5.2,5.2,Aston Villa,78,3.9,75,3.33,68,2.93,68,2.59,66,3.55,70,2.96,68,3.84,69,4.27,68,3.17,67,2.61,66,2.94,0.84,78,75,72,68,68,66,70,68,69,68,67,66,3.9,3.33,3.8,2.93,2.59,3.55,2.96,3.84,4.27,3.17,2.61,2.94,4.27,78,39.89,835,TRUE,M5.2,M5Aston Villa
M,314,Carvalho,4.8,4.8,Brentford,72,4.14,63,2.85,54,2.62,55,3.11,48,2.56,41,2.61,37,1.77,35,1.99,36,1.71,35,2.08,33,1.68,0.03,72,63,56,54,55,48,41,37,35,36,35,33,4.14,2.85,3.46,2.62,3.11,2.56,2.61,1.77,1.99,1.71,2.08,1.68,4.14,72,30.58,565,TRUE,M4.8,M5Brentford
M,101,Nørgaard,4.9,4.9,Brentford,64,2.25,83,2.31,77,2.27,77,2.59,74,2.34,73,2.66,73,2.08,73,2.29,72,1.94,70,2.33,69,1.98,0,64,83,78,77,77,74,73,73,73,72,70,69,2.25,2.31,2.78,2.27,2.59,2.34,2.66,2.08,2.29,1.94,2.33,1.98,2.78,83,27.82,883,TRUE,M4.9,M5Brentford
M,149,Wieffer,4.9,4.9,Brighton,76,2.47,77,2.34,74,2.02,71,2.06,72,2.27,69,2.65,72,2.21,69,2.3,68,2.35,70,2.23,70,2.5,0,76,77,75,74,71,72,69,72,69,68,70,70,2.47,2.34,2.75,2.02,2.06,2.27,2.65,2.21,2.3,2.35,2.23,2.5,2.75,77,28.15,863,TRUE,M4.9,M5Brighton
M,168,Enzo,4.9,4.9,Chelsea,85,3.28,84,2.45,82,2.63,80,2.5,81,3.02,79,2.92,79,3.08,78,2.45,76,3.1,77,2.79,75,2.82,0,85,84,82,82,80,81,79,79,78,76,77,75,3.28,2.45,3.05,2.63,2.5,3.02,2.92,3.08,2.45,3.1,2.79,2.82,3.28,85,34.09,958,TRUE,M4.9,M5Chelsea
M,239,Adama,5.1,5.1,Fulham,71,2.44,68,3.15,62,3.25,64,2.81,63,3.39,60,2.5,60,2.9,64,2.5,60,2.18,60,3.46,60,2.45,0,71,68,66,62,64,63,60,60,64,60,60,60,2.44,3.15,3.02,3.25,2.81,3.39,2.5,2.9,2.5,2.18,3.46,2.45,3.46,71,34.05,758,TRUE,M5.1,M5Fulham
M,192,J.Ayew,5.2,5.2,Leicester,64,2.89,61,2.71,62,2.66,60,2.27,60,2.53,57,2.38,57,2.71,60,2.58,56,2.15,55,2.67,57,1.9,0,64,61,62,62,60,60,57,57,60,56,55,57,2.89,2.71,2.81,2.66,2.27,2.53,2.38,2.71,2.58,2.15,2.67,1.9,2.89,64,30.26,711,TRUE,M5.2,M5Leicester
M,323,Gravenberch,5,5,Liverpool,80,3.09,78,2.92,74,3.08,72,2.94,70,3.04,70,2.36,70,2.61,70,2.81,70,2.9,70,2.51,69,3.17,0,80,78,76,74,72,70,70,70,70,70,70,69,3.09,2.92,2.36,3.08,2.94,3.04,2.36,2.61,2.81,2.9,2.51,3.17,3.17,80,33.79,869,TRUE,M5,M5Liverpool
M,364,Amad,5,5,Man Utd,54,2.67,49,2.94,51,2.87,47,3.08,47,2.62,48,2.96,47,1.91,48,2.85,50,1.95,47,2.78,50,2.76,0,54,49,49,51,47,47,48,47,48,50,47,50,2.67,2.94,2.7,2.87,3.08,2.62,2.96,1.91,2.85,1.95,2.78,2.76,3.08,54,32.09,587,TRUE,M5,M5Man Utd
M,535,Bellegarde,5,5,Wolves,57,2.5,56,2.13,56,2.51,55,2.95,56,2.21,57,2.58,54,2.27,54,2.27,54,2.68,54,2.35,55,2.39,0,57,56,56,56,55,56,57,54,54,54,54,55,2.5,2.13,2.22,2.51,2.95,2.21,2.58,2.27,2.27,2.68,2.35,2.39,2.95,57,29.06,664,TRUE,M5,M5Wolves
M,557,Mario Jr.,5,5,Wolves,85,2.57,83,2.21,77,2.56,75,2.77,72,2.07,69,2.28,70,2.18,70,2.12,70,2.48,70,2.24,72,2.21,0,85,83,79,77,75,72,69,70,70,70,70,72,2.57,2.21,2.26,2.56,2.77,2.07,2.28,2.18,2.12,2.48,2.24,2.21,2.77,85,27.95,892,TRUE,M5,M5Wolves
M,16,Rice,6.3,6.3,Arsenal,91,4.21,87,3.21,82,2.74,81,2.6,80,3.18,80,2.87,76,2.82,76,2.63,74,3.06,75,2.68,74,3.11,0,91,87,83,82,81,80,80,76,76,74,75,74,4.21,3.21,2.73,2.74,2.6,3.18,2.87,2.82,2.63,3.06,2.68,3.11,4.21,91,35.84,959,TRUE,M6.3,M6.5Arsenal
M,28,Bailey,6.4,6.4,Aston Villa,71,3.92,65,3.21,56,2.74,56,2.39,57,3.42,55,2.65,54,3.44,55,3.9,56,2.9,53,2.37,53,2.68,0,71,65,60,56,56,57,55,54,55,56,53,53,3.92,3.21,3.68,2.74,2.39,3.42,2.65,3.44,3.9,2.9,2.37,2.68,3.92,71,37.3,691,TRUE,M6.4,M6.5Aston Villa
M,136,Mitoma,6.6,6.6,Brighton,86,4.09,80,3.38,76,2.71,76,2.87,73,3.25,73,4.34,75,3.19,73,3.58,73,3.67,73,3.33,72,3.87,0,86,80,78,76,76,73,73,75,73,73,73,72,4.09,3.38,4.3,2.71,2.87,3.25,4.34,3.19,3.58,3.67,3.33,3.87,4.34,86,42.58,908,TRUE,M6.6,M6.5Brighton
M,177,Madueke,6.6,6.6,Chelsea,65,3.88,60,2.58,63,3.11,58,2.59,57,3.27,56,3.15,58,3.54,56,2.69,58,3.67,56,3.06,60,3.48,0,65,60,60,63,58,57,56,58,56,58,56,60,3.88,2.58,3.52,3.11,2.59,3.27,3.15,3.54,2.69,3.67,3.06,3.48,3.88,65,38.54,707,TRUE,M6.6,M6.5Chelsea
M,386,Sancho,6.4,6.4,Chelsea,54,3.21,53,2.35,0,0,51,2.35,52,3,52,2.96,52,3.06,51,2.47,53,3.23,53,2.94,48,2.82,0,54,53,51,0,51,52,52,52,51,53,53,48,3.21,2.35,2.94,0,2.35,3,2.96,3.06,2.47,3.23,2.94,2.82,3.23,54,31.33,570,TRUE,M6.4,M6.5Chelsea
M,336,Szoboszlai,6.5,6.5,Liverpool,72,3.77,69,3.64,63,3.75,61,3.46,61,3.74,61,2.81,59,3.13,61,3.44,61,3.65,60,2.98,60,4.03,0,72,69,66,63,61,61,61,59,61,61,60,60,3.77,3.64,2.7,3.75,3.46,3.74,2.81,3.13,3.44,3.65,2.98,4.03,4.03,72,41.1,754,TRUE,M6.5,M6.5Liverpool
M,329,Mac Allister,6.3,6.3,Liverpool,82,3.41,81,3.36,78,3.61,79,3.54,76,3.63,76,2.79,76,3.09,76,3.32,74,3.48,74,2.84,75,3.92,0,82,81,80,78,79,76,76,76,76,74,74,75,3.41,3.36,2.57,3.61,3.54,3.63,2.79,3.09,3.32,3.48,2.84,3.92,3.92,82,39.56,927,TRUE,M6.3,M6.5Liverpool
M,625,Gündogan,6.5,6.5,Man City,74,4.15,69,3.76,61,2.98,61,2.91,60,3.12,61,2.39,59,3.34,59,2.91,60,3.17,60,2.73,59,3.48,0,74,69,64,61,61,60,61,59,59,60,60,59,4.15,3.76,4.08,2.98,2.91,3.12,2.39,3.34,2.91,3.17,2.73,3.48,4.15,74,39.02,747,TRUE,M6.5,M6.5Man City
M,571,Sávio,6.5,6.5,Man City,61,3.93,59,3.77,51,3,50,2.85,51,3.09,50,2.4,50,3.28,49,2.85,51,3.21,48,2.69,49,3.38,0,61,59,53,51,50,51,50,50,49,51,48,49,3.93,3.77,4.03,3,2.85,3.09,2.4,3.28,2.85,3.21,2.69,3.38,4.03,61,38.48,622,TRUE,M6.5,M6.5Man City
M,372,Garnacho,6.3,6.3,Man Utd,68,3.27,73,4.18,72,3.84,68,4.3,69,3.72,67,4.05,66,2.51,67,3.84,66,2.42,65,3.74,65,3.51,0,68,73,73,72,68,69,67,66,67,66,65,65,3.27,4.18,3.84,3.84,4.3,3.72,4.05,2.51,3.84,2.42,3.74,3.51,4.3,73,43.22,819,TRUE,M6.3,M6.5Man Utd
M,382,Mount,6.3,6.3,Man Utd,49,2.29,61,3.44,59,3.11,29,1.84,31,1.76,30,1.84,31,1.28,32,1.83,32,1.32,30,1.75,31,1.74,0,49,61,62,59,29,31,30,31,32,32,30,31,2.29,3.44,3.14,3.11,1.84,1.76,1.84,1.28,1.83,1.32,1.75,1.74,3.44,62,25.34,477,TRUE,M6.3,M6.5Man Utd
M,392,Barnes,6.5,6.5,Newcastle,69,3.79,59,3.31,56,2.6,56,2.96,56,3.5,54,2.85,54,2.63,55,3.09,55,3.67,55,3.16,54,3.1,0,69,59,59,56,56,56,54,54,55,55,55,54,3.79,3.31,2.83,2.6,2.96,3.5,2.85,2.63,3.09,3.67,3.16,3.1,3.79,69,37.49,682,TRUE,M6.5,M6.5Newcastle
M,394,Bruno G.,6.3,6.3,Newcastle,89,3.24,85,3.17,81,2.5,79,2.78,78,3.21,79,2.78,78,2.53,76,2.76,74,3.27,76,2.86,74,2.8,0,89,85,83,81,79,78,79,78,76,74,76,74,3.24,3.17,2.64,2.5,2.78,3.21,2.78,2.53,2.76,3.27,2.86,2.8,3.27,89,34.54,952,TRUE,M6.3,M6.5Newcastle
M,433,Gibbs-White,6.3,6.3,Nott'm Forest,79,2.98,77,3.52,79,4.01,73,3.39,72,2.39,71,3.7,70,2.26,71,2.77,69,3.1,70,3.03,68,3.05,0,79,77,75,79,73,72,71,70,71,69,70,68,2.98,3.52,3.35,4.01,3.39,2.39,3.7,2.26,2.77,3.1,3.03,3.05,4.01,79,37.55,874,TRUE,M6.3,M6.5Nott'm Forest
M,491,Johnson,6.4,6.4,Spurs,71,3.81,63,3.85,52,3.24,51,3.78,51,2.17,49,3.16,50,2.86,48,2.93,48,3.25,50,2.69,51,2.91,0,71,63,56,52,51,51,49,50,48,48,50,51,3.81,3.85,3.1,3.24,3.78,2.17,3.16,2.86,2.93,3.25,2.69,2.91,3.85,71,37.75,640,TRUE,M6.4,M6.5Spurs
M,525,Kudus,6.3,6.3,West Ham,83,4.58,80,3,76,3.24,74,3.89,74,3,73,2.66,72,3.42,73,3.96,72,3.1,71,3.43,71,3.55,0,83,80,78,76,74,74,73,72,73,72,71,71,4.58,3,3.67,3.24,3.89,3,2.66,3.42,3.96,3.1,3.43,3.55,4.58,83,41.5,897,TRUE,M6.3,M6.5West Ham
M,19,Smith Rowe,5.8,5.8,Fulham,76,2.63,73,3.55,69,3.67,68,3.12,68,3.8,67,2.79,65,3.24,67,2.67,66,2.52,67,4.01,66,2.69,0.07,76,73,71,69,68,68,67,65,67,66,67,66,2.63,3.55,3.42,3.67,3.12,3.8,2.79,3.24,2.67,2.52,4.01,2.69,4.01,76,38.11,823,TRUE,M5.8,M6Fulham
M,611,Szmodics,5.9,5.9,Ipswich,57,2.87,57,3.33,54,3.27,54,2.39,55,2.85,56,2.65,51,2.82,53,2.96,54,2.69,54,2.86,54,1.96,0,57,57,54,54,54,55,56,51,53,54,54,54,2.87,3.33,2.71,3.27,2.39,2.85,2.65,2.82,2.96,2.69,2.86,1.96,3.33,57,33.36,653,TRUE,M5.9,M6Ipswich
M,492,Kulusevski,6.2,6.2,Spurs,74,3.24,71,3.56,66,3.27,64,3.61,62,2.18,61,3.14,62,2.88,61,3.01,63,3.39,63,2.7,63,2.88,0,74,71,68,66,64,62,61,62,61,63,63,63,3.24,3.56,3.09,3.27,3.61,2.18,3.14,2.88,3.01,3.39,2.7,2.88,3.61,74,36.95,778,TRUE,M6.2,M6Spurs
M,527,L.Paquetá,5.9,5.9,West Ham,73,4.28,73,2.9,69,3.07,67,3.73,69,3.03,68,2.73,67,3.34,66,3.73,66,2.96,65,3.29,66,3.37,0,73,73,70,69,67,69,68,67,66,66,65,66,4.28,2.9,3.46,3.07,3.73,3.03,2.73,3.34,3.73,2.96,3.29,3.37,4.28,73,39.89,819,TRUE,M5.9,M6West Ham
M,550,Hee Chan,6.2,6.2,Wolves,31,1.68,32,1.57,33,1.98,36,2.48,36,1.79,35,2.1,36,1.95,36,1.95,36,2.27,36,2.06,36,1.99,0,31,32,34,33,36,36,35,36,36,36,36,36,1.68,1.57,1.71,1.98,2.48,1.79,2.1,1.95,1.95,2.27,2.06,1.99,2.48,36,23.53,417,TRUE,M6.2,M6Wolves
M,99,Mbeumo,7.4,7.3,Brentford,90,6.2,85,4.39,82,4.33,82,5.34,80,4.57,76,5.43,77,3.81,75,4.59,76,3.72,75,4.71,75,3.79,0.95,90,85,83,82,82,80,76,77,75,76,75,75,6.2,4.39,5.9,4.33,5.34,4.57,5.43,3.81,4.59,3.72,4.71,3.79,6.2,90,56.78,956,TRUE,M7.3,M7.5Brentford
M,317,Diogo J.,7.5,7.5,Liverpool,53,3.48,52,3.3,48,3.49,49,3.45,47,3.61,50,2.68,49,3.08,47,3.23,49,3.54,47,2.81,47,3.98,0.02,53,52,50,48,49,47,50,49,47,49,47,47,3.48,3.3,2.4,3.49,3.45,3.61,2.68,3.08,3.23,3.54,2.81,3.98,3.98,53,39.05,588,TRUE,M7.5,M7.5Liverpool
M,398,Gordon,7.3,7.3,Newcastle,88,4.9,83,4.26,79,3.2,80,3.75,79,4.65,78,3.68,79,3.43,77,3.92,77,4.8,75,3.92,75,3.91,0,88,83,81,79,80,79,78,79,77,77,75,75,4.9,4.26,3.46,3.2,3.75,4.65,3.68,3.43,3.92,4.8,3.92,3.91,4.9,88,47.88,951,TRUE,M7.3,M7.5Newcastle
M,494,Maddison,7.5,7.5,Spurs,76,4.05,73,4.44,69,4.11,69,4.78,70,2.75,67,4.11,68,3.78,68,3.95,67,4.23,68,3.38,66,3.6,0,76,73,71,69,69,70,67,68,68,67,68,66,4.05,4.44,3.83,4.11,4.78,2.75,4.11,3.78,3.95,4.23,3.38,3.6,4.78,76,47.01,832,TRUE,M7.5,M7.5Spurs
M,514,Bowen,7.4,7.4,West Ham,87,5.61,84,3.61,81,3.99,80,4.92,79,3.74,79,3.36,78,4.28,78,5.03,77,3.86,78,4.31,79,4.57,0.01,87,84,82,81,80,79,79,78,78,77,78,79,5.61,3.61,4.44,3.99,4.92,3.74,3.36,4.28,5.03,3.86,4.31,4.57,5.61,87,51.72,962,TRUE,M7.4,M7.5West Ham
M,9,Martinelli,6.9,6.9,Arsenal,67,5.13,57,3.46,50,2.84,59,3.1,47,3.13,45,2.79,44,2.81,46,2.62,45,3.15,43,2.53,44,3.18,0,67,57,51,50,59,47,45,44,46,45,43,44,5.13,3.46,2.77,2.84,3.1,3.13,2.79,2.81,2.62,3.15,2.53,3.18,5.13,67,37.51,598,TRUE,M6.9,M7Arsenal
M,23,Trossard,6.9,6.9,Arsenal,69,5.35,56,3.52,38,2.26,45,2.47,39,2.66,37,2.33,36,2.36,36,2.17,38,2.72,38,2.26,37,2.69,0,69,56,43,38,45,39,37,36,36,38,38,37,5.35,3.52,2.42,2.26,2.47,2.66,2.33,2.36,2.17,2.72,2.26,2.69,5.35,69,33.21,512,TRUE,M6.9,M7Arsenal
M,199,Eze,6.8,6.8,Crystal Palace,88,4.01,85,4.25,82,4.56,79,4.5,78,3.69,78,4.58,78,4.37,78,3.32,77,3.71,77,3.38,79,4.03,0.41,88,85,83,82,79,78,78,78,78,77,77,79,4.01,4.25,4.53,4.56,4.5,3.69,4.58,4.37,3.32,3.71,3.38,4.03,4.58,88,48.93,962,TRUE,M6.8,M7Crystal Palace
M,385,Rashford,6.9,6.9,Man Utd,65,3.8,61,4.5,62,4.22,58,4.49,57,3.7,59,4.28,57,2.56,57,3.95,56,2.46,59,4.09,57,3.64,0,65,61,61,62,58,57,59,57,57,56,59,57,3.8,4.5,4.08,4.22,4.49,3.7,4.28,2.56,3.95,2.46,4.09,3.64,4.5,65,45.77,709,TRUE,M6.9,M7Man Utd
M,13,Ødegaard,8.2,8.2,Arsenal,0,0,35,1.98,84,4.31,82,3.91,82,5.08,82,4.51,82,4.74,80,4.11,80,5.25,82,4.32,81,5.34,0,0,35,72,84,82,82,82,82,80,80,82,81,0,1.98,3.49,4.31,3.91,5.08,4.51,4.74,4.11,5.25,4.32,5.34,5.34,84,47.04,842,TRUE,M8.2,M8Arsenal
M,327,Luis Díaz,8,8,Liverpool,74,4.28,66,3.82,64,4.22,64,4.11,63,4.41,61,3.01,62,3.56,62,3.92,60,3.95,61,3.31,63,4.77,0.34,74,66,67,64,64,63,61,62,62,60,61,63,4.28,3.82,2.91,4.22,4.11,4.41,3.01,3.56,3.92,3.95,3.31,4.77,4.77,74,46.27,767,TRUE,M8,M8Liverpool
M,366,B.Fernandes,8.2,8.2,Man Utd,88,4.19,86,4.89,82,4.35,78,5.85,77,4.74,76,5.42,78,3.19,76,5.04,76,3.11,76,5.17,76,4.62,0.37,88,86,83,82,78,77,76,78,76,76,76,76,4.19,4.89,4.38,4.35,5.85,4.74,5.42,3.19,5.04,3.11,5.17,4.62,5.85,88,54.95,952,TRUE,M8.2,M8Man Utd
M,345,De Bruyne,9.5,9.5,Man City,0,0,16,1.17,71,4.62,69,4.26,71,4.86,73,3.64,68,5.03,67,4.31,66,4.66,67,4.03,66,5.21,0,0,16,55,71,69,71,73,68,67,66,67,66,0,1.17,4.76,4.62,4.26,4.86,3.64,5.03,4.31,4.66,4.03,5.21,5.21,73,46.55,689,TRUE,M9.5,M9.5Man City
M,348,Foden,9.2,9.2,Man City,62,4.67,68,4.99,71,4.63,70,4.3,70,4.8,70,3.52,70,5.2,69,4.38,68,4.81,70,4.25,69,5.46,0,62,68,74,71,70,70,70,70,69,68,70,69,4.67,4.99,6.58,4.63,4.3,4.8,3.52,5.2,4.38,4.81,4.25,5.46,6.58,74,57.59,831,TRUE,M9.2,M9Man City