Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts
D,448,Perišić,5.5,5.5,Spurs,50,3.45,64,2.61,62,4.31,61,3.94,60,3.27,61,4.36,59,1.81,59,3.84
M,449,White,4.5,4.5,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.01,0,0.00,0,0.02
M,450,Sarr,4.5,4.5,Spurs,0,0.00,0,0.00,0,0.01,0,0.00,0,0.00,0,0.01,0,0.01,0,0.00
G,451,Austin,4.0,4.0,Spurs,0,0.00,0,0.00,0,0.00,0,0.01,0,0.01,0,0.02,0,0.00,0,0.00
M,452,Devine,4.5,4.5,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.01,0,0.00,0,0.01
F,453,Parrott,4.5,4.5,Spurs,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,454,Richarlison,8.5,8.5,Spurs,0,0.01,43,1.83,41,2.33,41,2.30,46,2.29,46,2.83,45,1.63,44,2.52
G,455,Fabianski,5.0,5.0,West Ham,87,3.11,88,3.72,88,3.78,88,3.38,87,3.27,86,3.06,85,3.62,85,3.40
D,456,Ogbonna,4.5,4.5,West Ham,26,0.54,33,1.27,33,1.36,34,1.07,37,1.10,36,0.81,36,1.41,31,1.06
D,457,Cresswell,5.0,5.0,West Ham,76,1.59,73,3.18,71,3.26,74,2.49,70,2.25,69,1.65,71,3.14,67,2.48
F,458,Antonio,7.5,7.5,West Ham,20,0.91,19,1.15,19,1.16,18,0.97,18,0.95,18,0.84,17,1.02,17,0.93
D,459,Dawson,5.0,5.0,West Ham,70,1.32,66,2.63,65,2.69,65,2.01,63,1.86,63,1.37,63,2.50,58,1.97
M,460,Lanzini,5.5,5.5,West Ham,58,2.16,56,2.83,55,2.83,54,2.39,51,2.25,51,1.98,50,2.56,48,2.22
D,461,Zouma,4.5,4.5,West Ham,84,1.53,81,3.10,79,3.21,77,2.33,76,2.18,75,1.61,71,2.78,72,2.41
D,462,Masuaku,4.5,4.5,West Ham,5,0.14,8,0.36,10,0.43,10,0.37,12,0.44,13,0.37,14,0.63,16,0.64
D,463,Coufal,4.5,4.5,West Ham,81,1.48,79,3.05,79,3.18,76,2.30,74,2.13,75,1.58,75,2.92,74,2.48
M,464,Benrahma,6.0,6.0,West Ham,49,2.01,46,2.60,51,2.88,52,2.51,53,2.51,51,2.13,53,2.89,51,2.55
M,465,Bowen,8.5,8.5,West Ham,80,3.06,77,4.31,76,4.37,74,3.61,73,3.46,72,2.92,71,4.03,70,3.56
M,466,Vlasic,5.0,5.0,West Ham,19,0.92,23,1.32,25,1.43,25,1.29,26,1.31,25,1.17,26,1.47,28,1.43
M,467,Rice,5.0,5.0,West Ham,86,2.21,82,2.66,82,2.71,81,2.40,80,2.35,79,2.12,79,2.56,78,2.41
M,468,Soucek,5.5,5.5,West Ham,85,2.48,83,3.28,80,3.20,81,2.84,81,2.78,80,2.43,80,3.13,79,2.84
M,469,Fornals,5.5,5.5,West Ham,66,2.17,67,2.93,63,2.82,67,2.62,65,2.51,65,2.21,64,2.79,65,2.60
D,470,Diop,4.5,4.5,West Ham,3,0.06,6,0.21,9,0.37,9,0.27,9,0.27,12,0.26,13,0.47,11,0.38
D,471,Johnson,4.5,4.5,West Ham,21,0.49,25,1.05,26,1.10,26,0.88,31,1.01,33,0.81,27,1.14,30,1.10
D,472,Aguerd,5.0,5.0,West Ham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,4,0.18,16,0.57
G,473,Areola,4.5,4.5,West Ham,3,0.09,1,0.05,2,0.08,2,0.07,3,0.12,4,0.14,4,0.17,5,0.19
D,474,Boly,4.5,4.5,Wolves,51,1.71,52,2.17,51,1.09,48,1.88,49,1.89,47,1.97,48,0.81,48,0.95
D,475,Coady,5.0,5.0,Wolves,83,2.59,82,3.17,80,1.56,79,2.81,72,2.65,79,2.96,77,1.29,76,1.40
F,476,Jiménez,7.0,7.0,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.07,23,0.92
D,477,Jonny,4.5,4.5,Wolves,81,2.85,76,3.35,73,1.61,69,2.75,66,2.64,68,2.89,66,1.12,67,1.36
G,478,Sá,5.0,5.0,Wolves,89,3.54,88,3.81,87,3.13,86,3.64,86,3.63,86,3.68,86,3.06,87,3.11
M,479,Dendoncker,5.0,5.0,Wolves,58,2.08,60,2.38,58,1.74,58,2.14,58,2.11,55,2.20,57,1.61,59,1.71
M,480,Neves,5.5,5.5,Wolves,80,3.08,79,3.50,79,2.47,77,3.05,76,2.94,76,3.26,76,2.18,75,2.19
M,481,Hwang,6.0,6.0,Wolves,53,2.75,52,3.03,48,2.04,51,2.77,49,2.60,51,2.98,50,1.94,45,1.80
D,482,Semedo,5.0,5.0,Wolves,10,0.35,35,1.60,56,1.27,70,2.80,71,2.83,69,2.93,67,1.19,71,1.45
M,483,Podence,5.5,5.5,Wolves,60,2.81,56,2.95,57,2.21,56,2.77,57,2.68,53,2.76,56,2.00,52,1.93
D,484,Kilman,4.5,4.5,Wolves,52,1.70,50,2.03,50,1.01,55,2.02,51,1.91,50,1.97,51,0.86,50,0.95
M,485,Cundle,4.5,4.5,Wolves,20,0.82,21,0.92,24,0.85,24,0.96,26,1.03,26,1.10,26,0.90,24,0.85
M,486,Neto,5.5,5.5,Wolves,79,3.83,76,4.32,75,2.89,73,3.77,72,3.57,71,3.99,70,2.50,69,2.58
D,487,Aït-Nouri,4.5,4.5,Wolves,73,2.60,56,2.43,43,0.99,36,1.51,38,1.58,38,1.69,40,0.72,36,0.79
F,488,Fabio Silva,5.5,5.5,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,489,Toti,4.0,4.0,Wolves,8,0.28,9,0.39,10,0.25,11,0.44,15,0.56,13,0.54,16,0.31,17,0.36
M,490,Chiquinho,5.0,5.0,Wolves,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,491,Adama,5.5,5.5,Wolves,20,1.02,22,1.24,24,1.04,24,1.25,25,1.25,25,1.35,27,1.10,24,1.01
G,492,Šarkić,4.0,4.0,Wolves,1,0.04,1,0.06,2,0.08,3,0.13,4,0.16,3,0.14,3,0.11,2,0.09
M,493,Gibbs-White,5.5,5.5,Wolves,44,2.23,46,2.61,48,1.90,47,2.48,46,2.35,47,2.70,45,1.66,36,1.39
D,494,Mosquera,4.0,4.0,Wolves,0,0.00,0,0.01,0,0.02,1,0.03,1,0.06,1,0.03,1,0.04,2,0.05
G,495,Matthews,4.0,4.0,Crystal Palace,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,496,Plange,4.5,4.5,Crystal Palace,0,0.01,0,0.00,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01,0,0.03
G,497,Adrián,4.0,4.0,Liverpool,0,0.00,0,0.01,0,0.00,0,0.00,0,0.00,0,0.01,0,0.00,0,0.01
D,498,R.Williams,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,499,Davies,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,500,Van den Berg,4.0,4.0,Liverpool,0,0.00,0,0.00,0,0.01,1,0.03,1,0.02,1,0.04,1,0.04,1,0.02
D,501,Phillips,4.0,4.0,Liverpool,1,0.03,1,0.05,1,0.05,2,0.11,2,0.12,3,0.11,3,0.13,3,0.09
G,502,Carson,4.0,4.0,Man City,0,0.01,1,0.06,1,0.07,1,0.07,2,0.10,2,0.08,1,0.04,1,0.05
M,503,Moutinho,5.0,5.0,Wolves,80,2.69,78,2.91,75,2.18,73,2.59,73,2.55,73,2.73,74,2.03,72,2.05
D,504,Malacia,4.5,4.5,Man Utd,52,2.59,51,2.03,52,1.65,50,2.14,48,1.88,50,1.96,50,2.22,49,2.41
M,505,Rothwell,5.0,5.0,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,506,Adams,5.0,5.0,Leeds,71,2.13,66,1.89,67,1.81,67,1.89,65,1.98,64,1.80,66,2.08,64,1.67
D,507,Niakhaté,4.5,4.5,Nott'm Forest,83,2.11,82,2.36,78,2.06,78,1.70,75,1.09,75,2.96,73,1.87,72,2.58
M,508,Sinisterra,6.5,6.5,Leeds,29,1.36,40,1.72,61,2.30,78,2.97,79,3.39,77,2.98,76,3.57,74,2.50
M,509,Downes,4.5,4.5,West Ham,3,0.11,4,0.19,6,0.27,6,0.26,8,0.33,8,0.34,9,0.41,9,0.39
D,510,Hickey,5.0,5.0,Brentford,69,2.02,61,1.81,55,1.90,47,1.94,50,1.72,47,1.91,50,1.64,47,1.40
D,511,Richards,4.5,4.5,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,25,0.77,32,1.33
M,512,Aribo,5.5,5.5,Southampton,30,1.11,31,1.40,33,1.32,34,1.35,33,1.30,29,1.21,34,1.53,29,1.19
D,513,Lenglet,5.0,5.0,Spurs,64,2.95,60,1.62,58,2.70,57,2.48,58,2.03,58,2.76,60,1.17,57,2.38
M,514,C.Doucouré,5.0,5.0,Crystal Palace,69,1.93,60,1.55,56,1.76,58,1.46,55,1.76,55,1.61,53,1.57,54,1.60
M,515,Lewis-Potter,5.5,5.5,Brentford,32,1.45,32,1.41,31,1.50,39,1.91,34,1.54,38,1.95,38,1.70,37,1.59
D,516,Collins,4.5,4.5,Wolves,55,1.96,53,2.47,52,1.19,50,2.08,53,2.20,56,2.51,48,0.82,53,1.09
G,517,Strakosha,4.5,4.5,Brentford,0,0.02,2,0.08,2,0.07,2,0.07,4,0.14,4,0.17,5,0.21,4,0.16
G,518,Hennessey,4.0,4.0,Nott'm Forest,2,0.07,2,0.09,3,0.12,4,0.15,5,0.17,6,0.28,7,0.27,6,0.25
M,519,Eriksen,6.5,6.5,Man Utd,21,1.19,27,1.39,27,1.19,27,1.41,31,1.52,31,1.49,28,1.42,30,1.70
D,520,Koulibaly,5.5,5.5,Chelsea,85,3.53,83,3.00,82,3.28,80,3.57,79,3.22,77,3.45,80,3.48,79,2.40
M,521,Francois,4.5,4.5,Fulham,12,0.44,9,0.35,5,0.21,5,0.19,6,0.26,6,0.22,6,0.23,7,0.27
D,522,Spence,4.5,4.5,Spurs,8,0.36,9,0.29,8,0.39,8,0.35,10,0.42,11,0.57,9,0.24,11,0.53
D,523,Toffolo,4.5,4.5,Nott'm Forest,66,1.98,62,2.16,61,1.92,64,1.69,59,0.95,59,2.74,44,1.40,39,1.73
M,524,O'Brien,5.0,5.0,Nott'm Forest,28,1.02,30,1.14,32,1.14,31,1.09,33,1.02,34,1.36,35,1.26,33,1.30
D,525,Augustinsson,4.5,4.5,Aston Villa,0,0.01,0,0.01,1,0.02,1,0.04,1,0.03,1,0.02,1,0.03,1,0.04
D,526,Mee,4.5,4.5,Brentford,84,2.59,81,2.51,82,2.95,78,3.36,76,2.73,72,3.10,66,2.22,64,1.95
M,527,Lingard,6.0,6.0,Nott'm Forest,73,2.74,71,3.04,68,2.70,68,2.55,67,2.01,67,3.20,65,2.65,66,3.19
F,528,Mara,5.5,5.5,Southampton,3,0.13,4,0.26,5,0.25,4,0.23,4,0.23,5,0.25,5,0.29,6,0.31
F,529,Scamacca,7.0,7.0,West Ham,72,2.62,70,3.45,68,3.43,67,2.96,66,2.85,65,2.45,64,3.05,63,2.77
D,530,Richards,4.5,4.5,Crystal Palace,2,0.08,3,0.09,10,0.38,9,0.20,16,0.60,14,0.44,14,0.44,16,0.53
D,531,Vinagre,4.5,4.5,Everton,2,0.06,2,0.08,1,0.07,2,0.07,2,0.07,3,0.10,3,0.09,2,0.09
D,532,Mbabu,4.5,4.5,Fulham,46,0.90,59,1.87,71,2.44,70,1.35,69,2.50,67,1.23,66,1.61,63,2.13
D,533,Martínez,4.5,4.5,Man Utd,68,3.16,66,2.39,66,1.91,65,2.53,63,2.21,61,2.18,63,2.59,60,2.70
M,534,McNeil,5.5,5.5,Everton,50,1.81,46,1.81,49,2.31,48,1.90,48,1.93,51,1.77,48,1.65,49,2.06
M,10009,Yangel Herrera,99.9,99.9,Man City,0,0.02,1,0.03,1,0.07,1,0.07,1,0.09,1,0.07,2,0.08,2,0.08
F,10011,Nahuel Bustos,99.9,99.9,Man City,0,0.00,0,0.01,0,0.01,0,0.02,0,0.01,0,0.02,0,0.02,1,0.04
D,10013,Emerson,99.9,99.9,Chelsea,3,0.12,4,0.14,5,0.18,5,0.21,5,0.17,4,0.17,6,0.26,4,0.13
D,10018,Matt Miazga,99.9,99.9,Chelsea,3,0.14,2,0.10,4,0.17,4,0.18,5,0.22,7,0.29,5,0.22,5,0.19
D,10020,Abdul-Rahman Baba,99.9,99.9,Chelsea,0,0.00,0,0.02,0,0.00,0,0.02,0,0.00,0,0.01,1,0.05,1,0.03
D,10030,Michal Karbownik,99.9,99.9,Brighton,0,0.01,1,0.03,2,0.05,2,0.07,3,0.08,3,0.10,3,0.09,3,0.09
F,10033,Florin Andone,99.9,99.9,Brighton,0,0.01,0,0.02,1,0.03,1,0.03,1,0.05,1,0.05,1,0.04,1,0.04
D,10035,Matt Clarke,99.9,99.9,Brighton,2,0.06,2,0.11,3,0.11,3,0.13,3,0.14,4,0.18,5,0.20,5,0.21
D,10036,Jan Paul van Hecke,99.9,99.9,Brighton,0,0.01,1,0.03,1,0.04,1,0.05,1,0.05,1,0.06,1,0.05,1,0.06
F,10040,Andi Zeqiri,99.9,99.9,Brighton,0,0.00,0,0.03,0,0.04,1,0.07,1,0.06,0,0.04,1,0.09,1,0.08
F,10052,Joel Valencia,99.9,99.9,Brentford,0,0.00,0,0.00,0,0.00,0,0.01,0,0.01,0,0.01,0,0.01,0,0.01
D,10054,Luka Racic,99.9,99.9,Brentford,1,0.05,2,0.07,2,0.09,2,0.10,2,0.07,1,0.06,1,0.03,1,0.03
D,10056,Fin Stevens,99.9,99.9,Brentford,0,0.01,0,0.01,1,0.03,1,0.03,1,0.02,1,0.03,1,0.03,1,0.02
F,10071,Amad Diallo,99.9,99.9,Man Utd,5,0.30,6,0.34,5,0.29,6,0.37,7,0.39,7,0.40,7,0.41,8,0.47
M,10088,Bruno Jordão,99.9,99.9,Wolves,2,0.10,3,0.16,5,0.18,4,0.19,6,0.26,5,0.23,5,0.20,6,0.22
M,10093,Connor Ronan,99.9,99.9,Wolves,3,0.12,4,0.18,4,0.15,5,0.22,5,0.23,5,0.25,6,0.22,5,0.22
F,10094,Patrick Cutrone,99.9,99.9,Wolves,3,0.21,3,0.27,3,0.24,4,0.29,4,0.34,5,0.39,5,0.31,5,0.31
M,10099,Conor Coventry,99.9,99.9,West Ham,5,0.18,7,0.28,10,0.39,9,0.37,8,0.33,10,0.38,11,0.45,11,0.42
G,10104,Mark Gillespie,99.9,99.9,Newcastle,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,10132,Tahith Chong,99.9,99.9,Man Utd,0,0.02,1,0.07,1,0.05,1,0.05,2,0.12,1,0.10,1,0.06,1,0.10
G,10133,Marcus Bettinelli,99.9,99.9,Chelsea,0,0.00,0,0.00,0,0.00,0,0.01,0,0.01,0,0.01,0,0.00,0,0.00
M,10200,Hannibal Mejbri,99.9,99.9,Man Utd,1,0.04,1,0.05,1,0.06,2,0.11,2,0.12,2,0.10,2,0.14,2,0.14
D,10201,Teden Mengi,99.9,99.9,Man Utd,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,10202,Shola Shoretire,99.9,99.9,Man Utd,0,0.03,1,0.06,1,0.07,1,0.08,1,0.09,1,0.10,1,0.11,2,0.13
M,10223,James Garner,99.9,99.9,Man Utd,3,0.14,4,0.19,5,0.18,7,0.27,7,0.27,7,0.28,8,0.30,8,0.34
F,10228,Marlos Moreno,99.9,99.9,Man City,0,0.02,1,0.04,1,0.06,1,0.07,1,0.10,1,0.10,2,0.11,2,0.11
M,10229,Ante Palaversa,99.9,99.9,Man City,0,0.01,1,0.05,1,0.06,2,0.10,2,0.08,2,0.09,2,0.10,1,0.07
D,10231,Rúben Vinagre,99.9,99.9,Everton,13,0.38,15,0.51,14,0.69,16,0.56,19,0.70,17,0.48,19,0.55,19,0.81
F,10232,Léo Bonatini,99.9,99.9,Wolves,2,0.14,3,0.17,4,0.19,4,0.21,4,0.24,4,0.25,5,0.23,4,0.20
M,10233,Mateusz Bogusz,99.9,99.9,Leeds,1,0.06,1,0.04,1,0.03,1,0.04,1,0.04,1,0.06,1,0.07,1,0.07
D,10241,Benjamin Mendy,99.9,99.9,Man City,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,10242,Tanguy Ndombélé,99.9,99.9,Spurs,0,0.03,1,0.04,2,0.12,2,0.10,2,0.13,2,0.11,2,0.10,3,0.19
M,10243,Giovani Lo Celso,99.9,99.9,Spurs,1,0.07,1,0.07,1,0.10,1,0.12,2,0.13,2,0.16,2,0.16,2,0.18
F,10244,Bryan Gil,99.9,99.9,Spurs,16,1.01,7,0.43,9,0.64,10,0.63,9,0.58,10,0.67,9,0.47,11,0.68
G,10245,Rúnar Alex Rúnarsson,99.9,99.9,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.02,0,0.02,0,0.02
D,10246,Héctor Bellerín,99.9,99.9,Arsenal,1,0.04,1,0.03,2,0.08,1,0.06,2,0.08,2,0.07,2,0.10,2,0.08
M,10247,Dennis Praet,99.9,99.9,Leicester,5,0.25,5,0.24,7,0.40,7,0.33,8,0.38,8,0.37,8,0.45,10,0.44
M,10249,Matty Longstaff,99.9,99.9,Newcastle,5,0.26,7,0.31,7,0.27,4,0.19,5,0.19,4,0.17,5,0.22,5,0.25
G,10250,Kjell Scherpen,99.9,99.9,Brighton,0,0.00,0,0.00,0,0.01,0,0.00,0,0.01,0,0.00,0,0.00,0,0.01
F,10252,Evan Ferguson,99.9,99.9,Brighton,0,0.01,0,0.01,1,0.03,1,0.07,1,0.06,1,0.08,1,0.08,1,0.06
F,10253,Tariqe Fosu,99.9,99.9,Brentford,2,0.15,2,0.12,2,0.13,3,0.19,3,0.18,3,0.21,4,0.23,5,0.28
F,10254,Halil Dervisoglu,99.9,99.9,Brentford,4,0.20,3,0.19,6,0.34,4,0.26,6,0.31,6,0.36,7,0.39,8,0.41
D,10255,James Hill,99.9,99.9,Bournemouth,9,0.28,14,0.28,16,0.41,19,0.37,20,0.72,22,0.72,20,0.70,22,0.61
F,10258,Michy Batshuayi,99.9,99.9,Chelsea,2,0.14,3,0.21,5,0.30,4,0.32,5,0.32,5,0.39,5,0.33,6,0.34
F,10259,Alejandro Garnacho,99.9,99.9,Man Utd,1,0.03,1,0.04,1,0.04,1,0.05,1,0.05,1,0.07,2,0.09,1,0.08
D,10260,Axel Tuanzebe,99.9,99.9,Man Utd,0,0.00,0,0.00,0,0.01,0,0.01,0,0.02,0,0.02,0,0.02,1,0.03
F,10263,Mason Greenwood,99.9,99.9,Man Utd,0,0.01,0,0.01,0,0.01,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,10264,Jed Steer,99.9,99.9,Aston Villa,0,0.00,0,0.00,0,0.02,0,0.01,0,0.00,0,0.01,1,0.02,0,0.01
D,10265,Ashley Young,99.9,99.9,Aston Villa,10,0.45,13,0.60,13,0.55,14,0.60,15,0.47,16,0.45,16,0.61,18,0.89
G,10266,Darren Randolph,99.9,99.9,West Ham,0,0.00,0,0.01,0,0.01,0,0.00,0,0.00,0,0.01,0,0.02,0,0.01
G,10268,Kiko Casilla,99.9,99.9,Leeds,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.01
F,10269,Hélder Costa,99.9,99.9,Leeds,6,0.35,2,0.11,2,0.11,2,0.14,3,0.20,2,0.15,2,0.17,3,0.16
D,10270,Cody Drameh,99.9,99.9,Leeds,17,0.65,15,0.48,19,0.53,19,0.60,17,0.66,15,0.44,8,0.36,10,0.25
F,10271,Ian Poveda,99.9,99.9,Leeds,1,0.08,0,0.02,0,0.02,1,0.08,1,0.09,1,0.05,1,0.05,1,0.07
G,10275,Jordan Smith,99.9,99.9,Nott'm Forest,0,0.00,0,0.00,0,0.01,0,0.01,0,0.00,0,0.00,0,0.01,0,0.01
F,10277,Nuno Da Costa,99.9,99.9,Nott'm Forest,0,0.02,0,0.01,1,0.04,1,0.04,1,0.03,1,0.06,1,0.07,2,0.10
G,10296,Nathan Trott,99.9,99.9,West Ham,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.01,0,0.00,0,0.00
F,10301,Manor Solomon,99.9,99.9,Fulham,0,0.01,0,0.02,0,0.02,0,0.02,1,0.04,1,0.04,1,0.04,1,0.05
D,10305,Issa Kaboré,99.9,99.9,Man City,3,0.10,3,0.13,4,0.15,4,0.20,3,0.14,4,0.14,3,0.12,3,0.13
M,10307,Elliot Anderson,99.9,99.9,Newcastle,0,0.01,1,0.04,1,0.03,0,0.02,1,0.03,0,0.03,1,0.03,0,0.03
M,10308,Orel Mangala,99.9,99.9,Nott'm Forest,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.01,0,0.01,0,0.01
M,10309,Marcus Tavernier,99.9,99.9,Bournemouth,0,0.01,0,0.02,0,0.03,1,0.04,1,0.04,1,0.05,1,0.07,1,0.07